India,['cau.org.in'],Central Agricultural University,,['http://www.cau.org.in/'],IN
India,['ccsuniversity.ac.in'],Chaudhary Charan Singh University,,['http://www.ccsuniversity.ac.in/'],IN
India,['ccsuniversity.org'],Ch. Charan Singh University,,['http://www.ccsuniversity.org/'],IN
India,['cesbm.ac.in'],Center for Entrepreneurship and Small Business Management,,['http://www.cesbm.ac.in/'],IN
India,['christuniversity.in'],Christ University,,['http://www.christuniversity.in/'],IN
India,['ciefl.org'],Central Institute of English and Foreign Languages,,['http://www.ciefl.org/'],IN
India,['cife.edu.in'],Central Institute of Fisheries Education,,['http://www.cife.edu.in/'],IN
India,['cihts.ac.in'],Central Institute of Higher Tibetan Studies,,['http://www.cihts.ac.in/'],IN
India,['cmjuniversity.edu.in'],CMJ University,,['http://www.cmjuniversity.edu.in/'],IN
India,['csauk.ac.in'],Chandra Shekhar Azad University of Agriculture and Technology,,['http://www.csauk.ac.in/'],IN
India,['cusat.ac.in'],Cochin University of Science and Technology,,['http://www.cusat.ac.in/'],IN
India,['cvru.ac.in'],Dr. C.V. Raman University,,['http://www.cvru.ac.in/'],IN
India,['da-iict.org'],Dhirubhai Ambani Institute of Information and Communication Technology,,['http://www.da-iict.org/'],IN
India,['darulhuda.com'],Darul Huda Islamic University,,['http://www.darulhuda.com/'],IN
India,['davuniversity.org'],Dav University,,['http://www.davuniversity.org/'],IN
India,['davv.ac.in'],Devi Ahilya University of Indore,,['http://www.davv.ac.in/'],IN
India,['dbatechuni.org'],Dr. Babasaheb Ambedkar Technological University,,['http://www.dbatechuni.org/'],IN
India,['dbskkv.org'],Konkan Agricultural University,,['http://www.dbskkv.org/'],IN
India,['dbs.tn.nic.in'],Tamil Nadu Agricultural University,,['http://dbs.tn.nic.in/tnau/'],IN
India,['dceonline.net'],Delhi College of Engineering (DCE),,['http://www.dceonline.net/'],IN
India,['ddugu.edu.in'],Deen Dayal Upadhyay Gorakhpur University,,['http://www.ddugu.edu.in/'],IN
India,['deccancollegepune.ac.in'],Deccan College Postgraduate and Research Institute,,['http://www.deccancollegepune.ac.in/'],IN
India,['dei.ac.in'],Dayalbagh Educational Institute,,['http://www.dei.ac.in/'],IN
India,['dibru.ernet.in'],Dibrugarh University,,['http://www.dibru.ernet.in/'],IN
India,['dravidianuniversity.ac.in'],Dravidian University,,['http://www.dravidianuniversity.ac.in/'],IN
India,['du.ac.in'],University of Delhi,,['http://www.du.ac.in/'],IN
India,['dypatiluniversity.org'],Dr. D.Y. Patil University,,['http://www.dypatiluniversity.org/'],IN
India,['eiilmuniversity.ac.in'],Eiilm University,,['http://www.eiilmuniversity.ac.in/'],IN
India,['fatimacollege.net'],Fatima mata national college kollam kerala,,['http://www.fatimacollege.net/'],IN
India,['fri.icfre.gov.in'],Forest Research Institute Dehradun,,['http://fri.icfre.gov.in/'],IN
India,['gbpuat.ac.in'],Govind Ballabh Pant University of Agriculture and Technology,,['http://www.gbpuat.ac.in/'],IN
India,['ggu.ac.in'],Guru Ghasidas University,,['http://www.ggu.ac.in/'],IN
India,['gipe.ernet.in'],Gokhale Institute of Politics and Economics,,['http://www.gipe.ernet.in/'],IN
India,['gitam.edu'],Gandhi Institute of Technology and Managment,,['http://www.gitam.edu/'],IN
India,['gju.ernet.in'],Guru Jambeshwar University,,['http://www.gju.ernet.in/'],IN
India,['gkvharidwar.org'],Gurukula Kangri University,,['http://www.gkvharidwar.org/'],IN
India,['gnduonline.org'],Guru Nanak Dev University,,['http://www.gnduonline.org/'],IN
India,['government.ind.in'],"Global Open University , Nagaland",,['http://www.government.ind.in/'],IN
India,['gtu.ac.in'],Gujarat Technological University Ahmedabad,,['http://www.gtu.ac.in/'],IN
India,['gujaratuniversity.org.in'],Gujarat University Ahmedabad,,['http://www.gujaratuniversity.org.in/'],IN
India,['gulbargauniversity.kar.nic.in'],Gulbarga University,,['http://www.gulbargauniversity.kar.nic.in/'],IN
India,['gu.nic.in'],Gauhati University,,['http://www.gu.nic.in/'],IN
India,['gurukuluniversity.org'],Gurukul University,,['http://www.gurukuluniversity.org/'],IN
India,['hau.ernet.in'],CCS Haryana Agricultural University,,['http://hau.ernet.in/'],IN
India,['hau.ernet.in'],Chaudhary Charan Singh Haryana Agricultural University,,['http://www.hau.ernet.in/'],IN
India,['hillagric.ernet.in'],Himachal Pradesh Agricultural University,,['http://hillagric.ernet.in/'],IN
